Name,Abbr,Team,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pastor Maldonado,MAL,williams,,,,,,,,,,,,,,,19,15,18,16,14,,,,,,
Tarso Marques,MAR,tororosso,,,,,22,,,,,,,,,,,,,,,,,,,,
Felipe Massa,MAS,ferrari,,,,,,13,,12,13,3,4,2,11,6,6,7,8,7,6,11,11,,,,
Nikita Mazepin,MAZ,haas,,,,,,,,,,,,,,,,,,,,,,,,,21
Gaston Mazzacane,MAZ,prost,,,,,25,,,,,,,,,,,,,,,,,,,,
Allan McNish,MCN,toyota,,,,,,19,,,,,,,,,,,,,,,,,,,
Roberto Merhi,MER,marussia,,,,,,,,,,,,,,,,,,,19,,,,,,
Franck Montagny,MTG,toyota,,,,,,,,,,27,,,,,,,,,,,,,,,
Tiago Monteiro,MON,forceindia,,,,,,,,,16,21,,,,,,,,,,,,,,,
Juan Pablo Montoya,MOY,williams,,,,,6,3,3,5,4,8,,,,,,,,,,,,,,,
Kazuki Nakajima,NAK,williams,,,,,,,,,,,22,15,20,,,,,,,,,,,,
Shinji Nakano,NAK,tororosso,18,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Nasr,NAS,sauber,,,,,,,,,,,,,,,,,,,13,17,,,,,
Lando Norris,NOR,mclaren,,,,,,,,,,,,,,,,,,,,,,,11,9,6
Esteban Ocon,OCO,renault,,,,,,,,,,,,,,,,,,,,23,8,12,,12,11
Jolyon Palmer,PAL,renault,,,,,,,,,,,,,,,,,,,,18,17,,,,
Olivier Panis,PAN,ligier,9,,16,,14,14,15,14,,,,,,,,,,,,,,,,,
Giorgio Pantano,PTO,forceindia,,,,,,,,24,,,,,,,,,,,,,,,,,
Sergio Perez,PER,forceindia,,,,,,,,,,,,,,,16,10,11,10,9,7,7,8,10,4,4
Vitaly Petrov,PET,caterham,,,,,,,,,,,,,,13,10,19,,,,,,,,,
Charles Pic,PIC,caterham,,,,,,,,,,,,,,,,21,20,,,,,,,,
Nelson Piquel Jr.,PIQ,renault,,,,,,,,,,,,12,21,,,,,,,,,,,,
Antonio Pizzonia,PIZ,williams,,,,,,,21,15,22,,,,,,,,,,,,,,,,
Kimi Raikkonon,RAI,ferrari,,,,,10,6,2,7,2,5,1,3,6,,,3,5,12,4,6,4,3,12,16,16
Daniel Ricciardo,RIC,redbull,,,,,,,,,,,,,,,27,18,14,3,8,3,5,6,9,5,8
Nico Rosberg,ROS,mercedes,,,,,,,,,,17,9,13,7,7,7,9,6,2,2,1,,,,,
Alexander Rossi,RSI,marussia,,,,,,,,,,,,,,,,,,,20,,,,,,
George Russell,RUS,williams,,,,,,,,,,,,,,,,,,,,,,,20,18,15
Carlos Sainz Jr.,SAI,tororosso,,,,,,,,,,,,,,,,,,,15,12,9,10,6,6,5
Mika Salo,SAL,toyota,17,13,10,11,,17,,,,,,,,,,,,,,,,,,,
Takuma Sato,SAT,superaguri,,,,,,15,18,8,23,23,17,21,,,,,,,,,,,,,
Michael Schumacher,MSC,ferrari,,2,5,1,1,1,1,1,3,2,,,,9,8,13,,,,,,,,,
Mick Schumacher,MSC,williams,,,,,,,,,,,,,,,,,,,,,,,,,19
Ralf Schumacher,RSC,williams,11,10,6,5,4,4,5,9,6,10,16,,,,,,,,,,,,,,
Bruno Senna,SEN,williams,,,,,,,,,,,,,,23,18,16,,,,,,,,,
Sergey Sirotkin,SIR,williams,,,,,,,,,,,,,,,,,,,,,,20,,,
Scott Speed,SPE,tororosso,,,,,,,,,,20,21,,,,,,,,,,,,,,
Will Stevens,STE,marussia,,,,,,,,,,,,,,,,,,23,21,,,,,,
Lance Stroll,STR,forceindia,,,,,,,,,,,,,,,,,,,,,12,18,15,11,13
Adrian Sutil,SUT,forceindia,,,,,,,,,,,19,20,17,11,9,,13,18,,,,,,,
Jarno Trulli,TRU,toyota,15,16,11,10,9,8,8,6,7,12,13,9,8,21,21,,,,,,,,,,
Yuki Tsunoda,TSU,tororosso,,,,,,,,,,,,,,,,,,,,,,,,,14
Giedo van der Garde,VDG,caterham,,,,,,,,,,,,,,,,,22,,,,,,,,
Stoffel Vandoorne,VAN,mclaren,,,,,,,,,,,,,,,,,,,,20,16,16,,,
Sebastian Vettel,VET,redbull,,,,,,,,,,,14,8,2,1,1,1,1,5,3,4,2,2,5,13,12
Jean-Eric Vergne,VER,tororosso,,,,,,,,,,,,,,,,17,15,13,,,,,,,
Jos Verstappen,VER,arrows,,,,12,18,,22,,,,,,,,,,,,,,,,,,
Max Verstappen,VER,redbull,,,,,,,,,,,,,,,,,,,12,5,6,4,3,3,1
Jaques Villeneuve,VIL,williams,1,5,,7,7,12,16,21,14,15,,,,,,,,,,,,,,,
Mark Webber,WEB,redbull,,,,,,16,10,13,10,14,12,11,4,3,3,6,3,,,,,,,,
Pascal Wehrlein,WEH,sauber,,,,,,,,,,,,,,,,,,,,19,18,,,,
Justin Wilson,WIL,redbull,,,,,,,20,,,,,,,,,,,,,,,,,,
Alexander Wurz,WUR,renault,14,8,13,15,,,,,17,,11,,,,,,,,,,,,,,
Sakon Yamamoto,YAM,hrt,,,,,,,,,,26,24,,,26,,,,,,,,,,,
Alex Yoong,YOO,tororosso,,,,14,26,20,,,,,,,,,,,,,,,,,,,
Ricardo Zonta,ZON,mercedes,,,,,19,,,22,,,,,,,,,,,,,,,,,
